station_type,company,name,address,city,latitude,longitude,phone,services,connector_types,amenities,is_24_7,station_id,gps_coordinates,image_url,source_url,combined_at
Petrol,Azpetrol,Babək 2,"Bakı şəhəri, Nizami rayonu, Babək prospekti, ev 2276-77, AZ 1142",Bakı,40.39114,49.90792,(012) 480-50-16,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; QDM (Propan-Butan); YDM,,,,424,,https://qnela1.azpetrol.com/uploads/image_ab475258df.jpg,https://www.azpetrol.com/service-network,2025-12-18T20:13:39.705005
Petrol,Azpetrol,Nobel 2,"Bakı şəhəri, Xətai rayonu, 8 Noyabr prospekti, 1240-cı məhəllə, AZ 1026",Bakı,40.37881,49.88226,(050) 850-95-63,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Maye qaz postu (LPG),,,,427,,https://qnela1.azpetrol.com/uploads/image_f21a30d759.jpg,https://www.azpetrol.com/service-network,2025-12-18T20:13:39.705005
Petrol,Azpetrol,Mayak 3,"Bakı şəhəri, Qaradağ rayonu, Qaradağ qəsəbəsi, Puta mayakının Şimal Qərb hissəsi, AZ 1083",Bakı,40.28598,49.73331,(050) 218-57-71,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; QDM (Propan-Butan),,,,430,,https://qnela1.azpetrol.com/uploads/image_237968825a.jpg,https://www.azpetrol.com/service-network,2025-12-18T20:13:39.705005
Petrol,Azpetrol,Gəncə-Nizami,"Goranboy rayonu, Nizami kəndi, AZ 2235",Goranboy,40.68925,46.48804,(050) 225-28-03,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM,,,,433,,https://qnela1.azpetrol.com/uploads/image_59df595c2c.jpg,https://www.azpetrol.com/service-network,2025-12-18T20:13:39.705005
Petrol,Azpetrol,Gəncə-Büllur,"Gəncə şəhəri, Şəmkir yolunun sağ tərəfi, AZ 2021",Gəncə,40.69365,46.33177,(022) 264-37-00,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM; Ödəmə terminalları,,,,436,,https://qnela1.azpetrol.com/uploads/image_5fe7159ce2.jpg,https://www.azpetrol.com/service-network,2025-12-18T20:13:39.705005
Petrol,Azpetrol,Masallı,"Masallı rayonu, Masallı şəhəri, Bakı-Astara şossesi, AZ 4400",Masallı,39.03461,48.68508,(025) 215-16-78,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Kafe; YDM,,,,439,,https://qnela1.azpetrol.com/uploads/image_bca3fb5143.jpg,https://www.azpetrol.com/service-network,2025-12-18T20:13:39.705005
Petrol,Azpetrol,Ağdaş,"Ağdaş rayonu, Məşədi kəndi, AZ 0300",Ağdaş,40.64128,47.49188,(020) 235-31-62,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Kafe; YDM,,,,442,,https://qnela1.azpetrol.com/uploads/image_149b70614e.jpg,https://www.azpetrol.com/service-network,2025-12-18T20:13:39.705005
Petrol,Azpetrol,Təzə Şilyan,"Ucar rayonu, Müsüslü kəndi, Təze Şilyan kəndi, AZ 6100",Ucar,40.42862,47.93738,(020) 213-40-14,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM,,,,445,,https://qnela1.azpetrol.com/uploads/image_a4af0fc2f1.jpg,https://www.azpetrol.com/service-network,2025-12-18T20:13:39.705005
Petrol,Azpetrol,Muğan,"Hacıqabul rayonu, Muğan qəsəbəsi, Ələt-Yevlax yolunun 59,5 km,AZ 2415",Hacıqabul,40.080657610193214,48.851198542327865,(050) 235-43-91,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM,,,,448,,https://qnela1.azpetrol.com/uploads/image_9f45f4d552.jpg,https://www.azpetrol.com/service-network,2025-12-18T20:13:39.705005
Petrol,Azpetrol,Padar,"Hacıqabul rayonu, Padar qəsəbəsi, AZ 2421",Hacıqabul,40.21558,48.52746,(050) 225-28-07,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM; Ödəmə terminalları,,,,451,,https://qnela1.azpetrol.com/uploads/image_d211eb1beb.jpg,https://www.azpetrol.com/service-network,2025-12-18T20:13:39.705005
Petrol,Azpetrol,Goran,"Goranboy rayonu, Məşədiqaralar kəndi, AZ 2215",Goranboy,40.63703,46.93817,(050) 225-28-25,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM,,,,454,,https://qnela1.azpetrol.com/uploads/image_dea2c51927.jpg,https://www.azpetrol.com/service-network,2025-12-18T20:13:39.705005
Petrol,Azpetrol,Biləsuvar,"Biləsuvar rayonu, Biləsuvar şəhəri, Bakı-Astara yolunun 184-185-ci km, AZ 1300",Biləsuvar,39.44136,48.55416,(025) 295-15-75,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Kafe; YDM; Ödəmə terminalları,,,,457,,https://qnela1.azpetrol.com/uploads/image_92c4d016ae.jpg,https://www.azpetrol.com/service-network,2025-12-18T20:13:39.705005
Petrol,Azpetrol,Neftçala,"Neftçala rayonu, Neftçala şəhəri, Heydər Əliyev prospekti, AZ 4700",Neftçala,39.39693,49.24587,(021) 263-45-50,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM; Ödəmə terminalları,,,,460,,https://qnela1.azpetrol.com/uploads/image_d8b0b043f4.jpg,https://www.azpetrol.com/service-network,2025-12-18T20:13:39.705005
Petrol,Azpetrol,Siyəzən,"Siyəzən rayonu, Bakı-Quba yolu, AZ 5300",Siyəzən,41.09428,49.09527,(050) 255-44-58,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM; Ödəmə terminalları,,,,463,,https://qnela1.azpetrol.com/uploads/image_aff2fab35e.jpg,https://www.azpetrol.com/service-network,2025-12-18T20:13:39.705005
Petrol,Azpetrol,Xudat,"Xaçmaz rayonu, Xudat şəhəri, 4-cü şöbə, AZ 2717",Xaçmaz,41.6066,48.69547,(050) 268-17-07,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Kafe; YDM; Ödəmə terminalları,,,,466,,https://qnela1.azpetrol.com/uploads/image_cbaba338c0.jpg,https://www.azpetrol.com/service-network,2025-12-18T20:13:39.705005
