name,address,city,latitude,longitude,gps_coordinates,image_url,source_url,scraped_at
14 SAYLI YDS,"Bakı şəhəri, Babək pr-ti ilə O.Vəliyev küçəsinin kəsişməsi",Bakı,40.392651,49.914626,"40.392651, 49.914626",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
14i SAYLI YDS,"Ünvan: Sumqayıt şəhəri, Sülh küçəsi və Koroğlu prospektinin kəsişməsi",Ünvan:,40.584324,49.662777,"40.584324, 49.662777",https://mymaps.usercontent.google.com/hostedimage/m/*/3ALCsBoqpLePLr6olyviHaA_DvPvwV3KaxGb5yywqbvlOWkzSd5mB16VkwX4S_HiiLYLtX49QCipLgAyMGgXi5s1SaICjhEChvK8jBD3Fl0DeYfoSXNtbhtJzS3h96D-U0wA2jxxwjY0vNDL89lYMePqzq__6mIRG5BvFob9zm1e4gIdH1EwCQvkRkCl4rYEwviIn_bkjBPFPGWaW?fife=s16383,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
14S SAYLI YDS,Fizuli şəhəri,Fizuli,39.603489,47.157566,"39.603489, 47.157566",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
15 SAYLI YDS,"Siyəzən rayonu, Bakı-Quba yolunun 86-cı kilometrliyi, sağ tərəf",Siyəzən,40.971356,49.245104,"40.971356, 49.245104",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
15i SAYLI YDS,"Bakı şəh.,Novxanı qəsəbəsi Heydər Əliyev prospekti",Bakı,40.550906,49.780724,"40.550906, 49.780724",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
15S SAYLI YDS,Kəlbəcər rayonu,Kəlbəcər,40.161932,46.228294,"40.161932, 46.228294",https://mymaps.usercontent.google.com/hostedimage/m/*/3ALCsBoqIa6UVViYj8ILR7v5MIJbmZZooqVWgVF6guw9gZxeIuOHWzA_PrSgMfZgIyJ_hcWNXRe9jCAs5NuIG4zzvSS5TMoPUKszA-BaWLhSp9AA6BUYx5-JeQCIDovcaRsUDStHO2R9tfuaaJAtN608BlQKl_3R7TG-hrdRPCcx_x_LCg9ySk3CocxAq3dYFDEKrL_2zYpN6eHjVbaD9KSvhfPy2c_Z3Xg69nLy-l4cGnPBzF52eX1wl1TnnJeI?fife=s16383,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
16 SAYLI YDS,"Siyəzən rayonu, Bakı-Quba yolunun 86-cı kilometrliyi, sol tərəf",Siyəzən,40.970634,49.244111,"40.970634, 49.244111",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
16i SAYLI YDS,Bərdə rayon Bakı küçəsi,Bakı,40.396422,47.127636,"40.396422, 47.127636",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
17 SAYLI YDS,Z.Bünyadov pr-ti,Z.Bünyadov,40.425132,49.90701,"40.425132, 49.907010",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
17i SAYLI YDS,"Mingəçevir rayonu , H.Əliyev pros. 341",Mingəçevir,40.757261,47.085863,"40.757261, 47.085863",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
18 SAYLI YDS,"Hacıqabul rayonu, Pirsaat qəsəbəsi",Hacıqabul,40.042683,49.060623,"40.042683, 49.060623",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
18i SAYLI YDS,"İsmayıllı r-nu,Nizami Gəncəvi küç.",İsmayıllı,40.788757,48.172219,"40.788757, 48.172219",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
19A SAYLI YDS,"Şamaxı rayonu, Əngəxaran kəndi",Şamaxı,40.656937,48.641183,"40.656937, 48.641183",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
19B SAYLI YDS,"Şamaxı rayonu, Sabir qəsəbəsi",Şamaxı,40.595872,48.697502,"40.595872, 48.697502",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
19i SAYLI YDS,Kürdəmir rayonu Babək küçəsi.,Kürdəmir,40.351444,48.162597,"40.351444, 48.162597",https://mymaps.usercontent.google.com/hostedimage/m/*/3ALCsBoqhYsCt6lBY6qBSsVVUB8qlBS8SXhq5ra1gTuHWu5adGz2GQAbJEt2dlb9zdhugFg56SsYVdnNkgiv4PCTWbj0TnUfubPhjMII7hJPEjGn_fddscmoQQN9ohMWZ7-6dmZudNY4MAvuGdumG0_XJGzfkZDdTXAe5xeKSQOfpsIGsNZajKfAZlWIODpXwNSW9g-fvSggPtQlpfyJ08ThRSNpdBc9d3t3BHTUxYQ9SqwMbY0IlJ2K6eP_85vE?fife=s16383,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
20 SAYLI YDS,"Bakı şəhəri, Binəqədi rayonu, Binəqədi qəsəbəsinin şimal hissəsi, Binəqədi – Novxanı yolu.",Bakı,40.481654,49.835896,"40.481654, 49.835896",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
20i SAYLI YDS,Ağdaş rayonu,Ağdaş,40.644215,47.494838,"40.644215, 47.494838",https://mymaps.usercontent.google.com/hostedimage/m/*/3ALCsBorQeSaLpbmg0d_23Ys2oHdAI90en9xScskxaNiBb6C9tChSd7s4l4NR6TjC5m9bUzl5RNj0R1XsXZE6jDE-T4Gh9sYEMsbBIvMsv4YEzwnka4as9_qchkzBbeEAAiBL0HOFhyLDBM7NYzI-hrYOXBKYqJr8e8oG1T_Zv-8qQsByD30p3tix4Y9Sqj7bi8UfCT2y_ONpXmGYYSadr8dl2xtjjujirZ5NI1w6KC_t-UxvKKKtVdpaGPej06o?fife=s16383,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
21 SAYLI YDS,"Xətai rayonu, Nobel prospekti",Xətai,40.375886,49.915262,"40.375886, 49.915262",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
21i SAYLI YDS,"Şəmkir rayonu, Düyərli kəndi",Şəmkir,40.917523,45.889949,"40.917523, 45.889949",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
22 SAYLI YDS,"Yasamal Rayonu, Qanlı Göl yaxınlığında",Yasamal,40.362293,49.796421,"40.362293, 49.796421",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
22-i SAYLI YDS,,,40.400484,49.858113,"40.400484, 49.858113",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
23 SAYLI YDS,"Zaqatala rayonu, Mazıx kəndi",Zaqatala,41.639823,46.575938,"41.639823, 46.575938",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
23i SAYLI YDS,"Mammadamin Rasul-Zadeh St, Baku",Mammadamin,40.45602,49.756923,"40.456020, 49.756923",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
24 SAYLI YDS,"Qubadlı rayonu, Eyvazlı kəndi",Qubadlı,39.431437,46.389028,"39.431437, 46.389028",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
24i SAYLI YDS,Şıxov,Şıxov,40.305442,49.785462,"40.305442, 49.785462",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
25 SAYLI YDS,Şuşa şəhəri,Şuşa,39.770226,46.746681,"39.770226, 46.746681",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
25i SAYLI YDS,Hövsan,Hövsan,40.366687,50.081245,"40.366687, 50.081245",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
26i SAYLI YDS,Müşfiqabad,Müşfiqabad,40.466994,49.636068,"40.466994, 49.636068",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
27i SAYLI YDS,Ziya Bünyadov pr-ti,Ziya,40.41833,49.862625,"40.418330, 49.862625",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
28i SAYLI YDS,Mehdiabad qəsəbəsi,Mehdiabad,40.480779,49.855903,"40.480779, 49.855903",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
29i SAYLI YDS,Sədərək rayonu Qaraağac kəndi,Sədərək,39.644281,44.874918,"39.644281, 44.874918",https://mymaps.usercontent.google.com/hostedimage/m/*/3ALCsBooBnn4mCQW9FXPddouKGzj604J6fYeZ55etq56XaO28ZkCpv6BWzrmE3XV6L91qKi8QzfZDxGYqyIrnrkWwdTEvFpYdb19pHayKcbhheqvL7xxB08IyTPXkumjdOyWRASn3EM2x1RdfzeV8WtgOBHzGfubcqR-6mfFn9SuWghswh2V9oiuZ9cjStiZy7OsoaJKgqcPmiOrEoNbzvoX-CyZXrlnCuaKP-wmtWFvw8MlQPem1MCww6dW6RYw?fife=s16383,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
31i SAYLI YDS,"Göygöl rayonu, Quşqara kəndi, Zəfər küçəsi, giriş 98",Göygöl,40.712547,46.303993,"40.712547, 46.303993",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
STQ YDS,Zığ Hövsan yolu,Zığ,40.354942,49.980372,"40.354942, 49.980372",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
