id,name,address,city,latitude,longitude,phone,services,image_url,source_url,scraped_at
370,Dərnəgül,"Bakı şəhəri, Nərimanov rayonu, Ziya Bünyadov prospekti, AZ 1069",Bakı,40.41788,49.86362,(012) 564-65-89,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM,https://qnela1.azpetrol.com/uploads/image_096a3fca5b.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
373,Babək,"Bakı şəhəri, Nizami rayonu, Babək prospekti, ev 2276-77, AZ 1142",Bakı,40.39118,49.90804,(012) 480-50-18,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; CNG qaz (Metan); Elektromobillərin doldurma xidməti; Kafe; YDM; Ödəmə terminalları,https://qnela1.azpetrol.com/uploads/image_0ca717fe39.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
376,Maştağa,"Bakı şəhəri, Sabunçu rayonu, Maştağa ŞTQ, Maştağa qəsəbəsi AZ 1039",Bakı,40.50517,49.97392,(050) 243-61-52,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM,https://qnela1.azpetrol.com/uploads/image_4466016331.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
379,Şabran,"Bakı şəhəri, Binəqədi rayonu, Binəqədi şossesinin şərq hissəsi, AZ 1117",Bakı,40.44808,49.84401,(012) 412-74-65,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Elektromobillərin doldurma xidməti; Kafe; YDM,https://qnela1.azpetrol.com/uploads/image_fb22adfad0.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
382,Nobel,"Bakı şəhəri, Xətai rayonu, 8 Noyabr prospekti 1240-cı məhəllə, AZ 1026",Bakı,40.37887,49.88272,(012) 555-63-02,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Elektromobillərin doldurma xidməti; Kafe; YDM; Ödəmə terminalları,https://qnela1.azpetrol.com/uploads/image_0570aa283f.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
385,Salyan,"Salyan rayonu, Bakı-Astara yolu 134 km, AZ 5200",Salyan,39.57896,48.96917,(021) 255-36-61,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Kafe; YDM; Ödəmə terminalları,https://qnela1.azpetrol.com/uploads/image_ed33547941.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
388,Horadiz,"Füzuli rayonu, Horadiz şəhəri, AZ 1924",Füzuli,39.45618,47.32512,(026) 315-53-52,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM; Ödəmə terminalları,https://qnela1.azpetrol.com/uploads/image_9f56361a4c.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
391,Şabran,"Şabran rayonu, Şabran şəhəri, AZ 1700",Şabran,41.19054,48.9955,(023) 358-28-64,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Elektromobillərin doldurma xidməti; Kafe; YDM,https://qnela1.azpetrol.com/uploads/image_980fb21c4b.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
394,Ozon,"Bakı şəhəri, Yasamal rayonu, Şərifzadə küçəsi, AZ 1012",Bakı,40.40041,49.80119,(012) 433-68-80,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Elektromobillərin doldurma xidməti; Kafe; YDM,https://qnela1.azpetrol.com/uploads/image_c2ed22ca76.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
397,Günəşli,"Bakı şəhəri, Suraxanı rayonu, Yeni Günəşli qəsəbəsi, A-B Yaşayış sahəsi, AZ 1133",Bakı,40.38678,49.97596,(012) 477-14-59,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM,https://qnela1.azpetrol.com/uploads/image_0b75d7b9d8.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
400,Goranboy,"Goranboy rayonu, Borsunlu kəndi, AZ 2200",Goranboy,40.64433,46.67552,(022) 243-61-60,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Kafe; YDM,https://qnela1.azpetrol.com/uploads/image_d6d8ad5f7a.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
403,Qax,"Qax rayonu, Qax şəhəri, Heydər Əliyev prospekti, AZ 3400",Qax,41.41649,46.90355,(024) 255-59-26,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Kafe; YDM; Ödəmə terminalları,https://qnela1.azpetrol.com/uploads/image_3d8046f272.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
406,Oğuz,"Oğuz rayonu, Calud, AZ 4815",Oğuz,41.05237,47.42279,(024) 215-31-84,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Kafe; YDM; Ödəmə terminalları,https://qnela1.azpetrol.com/uploads/image_66d217de02.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
409,Qəbələ,"Qəbələ rayonu, Qəbələ şəhəri, Heydər Əliyev prospekti, AZ 3600",Qəbələ,40.96511,47.83536,(024) 204-05-12,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Elektromobillərin doldurma xidməti; Kafe; YDM,https://qnela1.azpetrol.com/uploads/image_db2bac96b2.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
412,Şəmkir-Dəllər,"Şəmkir rayonu, Bakı-Qazax şossesinin sol kənarı, AZ 5700",Şəmkir,40.85217,46.03472,(022) 303-01-43,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM; Ödəmə terminalları,https://qnela1.azpetrol.com/uploads/image_381f2c6bda.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:36:57.003496
