company,name,address,city,latitude,longitude,phone,connector_types,amenities,quantity,tariffs,is_24_7,station_id,source_url,scraped_at
AYNA (Gov),"""Zabux"" SES",Zabux Azərbaycan,Zabux Azərbaycan,39.59453566703746,46.53470720673971,0,CSS Combo 1,Cafe; WC,0,0,Yes,66cedc26a77f2d845324dd3c,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439862
AYNA (Gov),"Salyan ""Yolüstü"" restoranı",Ələt-Astara yolunun 71 km (Astara istiqamətində),Ələt-Astara,39.53216593006695,48.82090450297548,0,CHAdeMO,Cafe; WC,2,0,Yes,66d0138de307912f0379d564,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439877
AYNA (Gov),Sumqayıt Yaşma qəsəbəsi,Bakı - Quba ödənişli avtomobil yolunun girişi Bakı - Quba ödənişli avtomobil yolunun girişi,Bakı - Quba ödənişli avtomobil yolunun girişi Bakı - Quba ödənişli avtomobil yolunun girişi,40.68258527491969,49.503312714252786,-,Type 2 (Mennekes),Cafe; WC,1,-,Yes,66d015d9e307912f0379d566,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439895
AYNA (Gov),"Salyan ""Yolüstü"" restoranı",Ələt-Astara yolunun 71 km (Astara istiqamətində),Ələt-Astara,39.53291621004979,48.82018959334951,0,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,2,0,Yes,66d0177fa77f2d845324dd3f,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439912
AYNA (Gov),"Qəbələ ""Qəbələ"" 110/35/10 kV-luq YS",Qəbələ şəhəri,Qəbələ,40.84721689359955,47.732980828197185,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,-,-,Yes,66d01ab7a5ab6aafb9d7ff59,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439927
AYNA (Gov),Yevlax SCADA İdarəetmə Mərkəzi (35/10 kV-luq YS),Yevlax şəhəri,Yevlax,40.6319113910954,46.993727970197114,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,-,-,Yes,66d02020a77f2d845324dd41,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439940
AYNA (Gov),"""Dağlıq"" YS","Seyid Cəfər Pişəvəri, Nəsimi, Bakı, Azərbaycan, AZ1102",Bakı,40.40458797044974,49.81339374589362,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,2,-,Yes,66d0219fe307912f0379d568,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439961
AYNA (Gov),"Nizami ""Neftçilər"" metrosunun (Sputnik) yaxınlığı",Qara Qarayev 230 küçəsi,Qara,40.413278898664885,49.94066317566936,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,2,-,Yes,66d022eca77f2d845324dd42,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439979
AYNA (Gov),Xəzər Rasim İmanov 23,"""Manqal"" restoranın yaxınlığı","""Manqal"" restoranın yaxınlığı",40.528255907668694,50.09753939270644,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,2,-,Yes,66d023b6e307912f0379d569,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439995
AYNA (Gov),"Xətai ""Ağ şəhər-2"" YS",Kənd Təsərrufatı Nazirliyinin yaxınlığı,Kənd Təsərrufatı Nazirliyinin yaxınlığı,40.38521411875831,49.879083163493334,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,-,-,Yes,66d024c2e307912f0379d56b,https://edm.ayna.gov.az/,2025-12-18T20:12:21.440013
